"CurrentSection","SuggestedGroup","Count"
"Custom Toys","Abraham Obama","11"
"Custom Toys","Barney Grin","7"
"Custom Toys","Bart Grin","13"
"Custom Toys","Cathy Cowgirl","9"
"Custom Toys","Cereal Killers","25"
"Custom Toys","Charlie Grin","34"
"Custom Toys","Fat Tony","9"
"Custom Toys","Grin","195"
"Custom Toys","Heart Brain","6"
"Custom Toys","Heart Skull","18"
"Custom Toys","Homer Grin","2"
"Custom Toys","Liberty Grin","9"
"Custom Toys","Light Cult","5"
"Custom Toys","Little Bigfoot","23"
"Custom Toys","MC Supersized","150"
"Custom Toys","Mousemask Murphy","36"
"Custom Toys","Other / Needs Review","460"
"Custom Toys","POPaganda","15"
"Custom Toys","Rabbbit","29"
"Custom Toys","Temper Tot","31"
"Custom Toys","Uncle Scam","3"
